ID,Name,Epoch,a,e,i,w,Node,M,q,Q,P,H,MOID,ref,class,ID2,Name2
2009,WQ52,57400,2.56037124,0.659843872,5.7293833,49.3267182,61.2354641,170.9806079,0.8709,4.25,4.10,28.10,0.006729,7,APO,2009,WQ52
2009,WR52,57400,1.03364177,0.155279344,4.2418273,269.9010492,61.0230214,14.5720998,0.8731,1.19,1.05,28.30,0.001895,9,APO,2009,WR52
2009,WS52,55159,1.77498147,0.395755699,27.9581957,157.2828707,240.0212295,10.0057987,1.0725,2.48,2.36,23.50,0.105538,6,AMO,2009,WS52
2009,WZ53,55160,1.13785810,0.242214902,32.7463632,111.4604296,61.5836103,276.0651410,0.8623,1.41,1.21,24.20,0.026658,6,APO,2009,WZ53
2009,WA54,57400,1.57464337,0.379737790,6.9107446,150.6059626,244.8907265,48.2864821,0.9767,2.17,1.98,26.80,0.016648,7,APO,2009,WA54
2009,WB54,57400,1.36851430,0.357090954,18.9421188,300.1331415,61.6587441,328.6210675,0.8798,1.86,1.60,26.40,0.018903,7,APO,2009,WB54
2009,WC54,57400,0.90197663,0.231505799,17.9419196,358.3296736,244.0497770,235.3993619,0.6932,1.11,0.86,24.10,0.123316,9,ATE,2009,WC54
2009,WD54,55160,0.81825122,0.294726512,3.0092840,211.0951071,61.4097174,129.2174399,0.5771,1.06,0.74,28.50,0.002716,6,ATE,2009,WD54
2009,WF54,55159,1.43924796,0.309520649,3.2833603,128.0737125,240.6349679,28.1707152,0.9938,1.88,1.73,25.80,0.032857,5,APO,2009,WF54
2009,WG104,57400,1.68620114,0.305514067,15.7089847,103.5202134,261.9467770,316.0954725,1.1710,2.20,2.19,20.10,0.303969,12,AMO,2009,WG104
2009,WH104,57400,2.58332679,0.552296503,16.4538466,123.0215470,243.0706596,185.5455282,1.1566,4.01,4.15,21.10,0.259795,12,AMO,2009,WH104
2009,WW104,57400,1.52734526,0.462187938,7.0626392,84.7313172,254.7109454,122.8976893,0.8214,2.23,1.89,22.50,0.036331,18,APO,2009,WW104
2009,WX104,55160,1.71366055,0.447693967,17.5553894,134.1823829,242.1475184,16.7805867,0.9465,2.48,2.24,26.00,0.044032,5,APO,2009,WX104
2009,WY104,55160,0.99651611,0.224261847,26.7960899,126.4212636,61.2563260,256.3693098,0.7730,1.22,0.99,25.00,0.094194,5,ATE,2009,WY104
2009,WZ104,57400,0.85544250,0.192702155,9.8340024,10.5419836,263.2888906,44.4662895,0.6906,1.02,0.79,20.00,0.030087,52,ATE,2009,WZ104
2009,WA105,57400,2.53213607,0.594423123,8.0002130,8.0585431,58.2127140,186.8976291,1.0270,4.04,4.03,24.00,0.041245,13,AMO,2009,WA105
2009,WB105,57400,0.82541431,0.252510616,38.4037957,347.5619181,242.6146324,263.3235001,0.6170,1.03,0.75,23.50,0.037885,12,ATE,2009,WB105
2009,WM105,57400,0.90005838,0.156440439,9.2438640,198.3296922,45.6572275,244.9934079,0.7593,1.04,0.85,23.00,0.035286,8,ATE,2009,WM105
2009,WN105,57400,2.60843207,0.549251631,13.9324019,34.5596386,76.0887801,151.4733052,1.1757,4.04,4.21,22.40,0.224236,10,AMO,2009,WN105
2009,WC106,55161,1.08290609,0.178245491,5.3472161,257.7859199,243.0070773,300.2872383,0.8899,1.28,1.13,25.50,0.011910,5,APO,2009,WC106
2009,WE106,57400,1.96590061,0.501953136,4.3855340,24.4205054,66.8382552,72.4314755,0.9791,2.95,2.76,27.20,0.012685,5,APO,2009,WE106
2009,WF106,57400,2.11464109,0.710531191,36.8622502,102.4607177,76.6973355,337.8618481,0.6121,3.62,3.08,19.80,0.077546,16,APO,2009,WF106
